Name,Created,Tags
1. Vstup (základné pojmy),"May 4, 2025 5:15 PM",
2. Historia manažmentu,"May 4, 2025 5:16 PM",
3. Teritoriálne odlišnosti manažmentu,"May 5, 2025 4:02 PM",
4. Etika,"May 5, 2025 5:46 PM",
5. Rozhodovanie,"May 5, 2025 9:22 PM",
6. Plánovanie,"May 7, 2025 10:40 PM",
7. Strategické riadenie,"May 5, 2025 9:23 PM",
"8. Organizovanie, organizačné štruktúry","May 7, 2025 10:46 PM",
9.   Riadenie ľudských zdrojov,"May 7, 2025 10:50 PM",
10. Vedenie ľudí - 1. Motivácia,"May 7, 2025 11:17 PM",
,"May 14, 2025 5:00 PM",
11. Vedenie ľudí – 2. Komunikácia,"May 7, 2025 11:27 PM",
12. Vedenie ľudí – 3. Vodcovstvo,"May 7, 2025 11:27 PM",
13. Kontrolovanie,"May 8, 2025 2:50 PM",
,"May 8, 2025 5:27 PM",
